prop,propLabel,paperCount
http://orkg.org/orkg/predicate/P15023,Advantages,78
http://orkg.org/orkg/predicate/P15269,emarkable factor,78
http://orkg.org/orkg/predicate/P40059,Nanoparticles preparation method,76
http://orkg.org/orkg/predicate/P15067,Publication type,74
http://orkg.org/orkg/predicate/P36096,Used models,71
http://orkg.org/orkg/predicate/P34063,Dataset name,71
http://orkg.org/orkg/predicate/P15599,Findings,69
http://orkg.org/orkg/predicate/P36026,Languages,69
http://orkg.org/orkg/predicate/P41068,Total sampling stations,68
http://orkg.org/orkg/predicate/DATA,Data,67
http://orkg.org/orkg/predicate/P34,evaluation,67
http://orkg.org/orkg/predicate/P15518,Band,66
http://orkg.org/orkg/predicate/P33013,Observed proportion of species making the transition,64
http://orkg.org/orkg/predicate/P33012,Transition in the invasion process,64
http://orkg.org/orkg/predicate/P4016,Material,64
http://orkg.org/orkg/predicate/P15512,Country of study,64
http://orkg.org/orkg/predicate/P9024,Source,64
http://orkg.org/orkg/predicate/P37321,Incubation period (hours),63
http://orkg.org/orkg/predicate/HAS_IMPLEMENTATION,Has implementation,62
http://orkg.org/orkg/predicate/P41578,Components of the smart city governance_Exchange arragements,61
http://orkg.org/orkg/predicate/P41581,Contextual factors_Degree of autonomy,61
http://orkg.org/orkg/predicate/P41579,Measurements_Aggregate-based measures,61
http://orkg.org/orkg/predicate/P41577,Components of the smart city governance_Legislation and policies,61
http://orkg.org/orkg/predicate/P15086,P (MPa),61
http://orkg.org/orkg/predicate/P41574,Components of the smart city governance_Processes,61
http://orkg.org/orkg/predicate/P41575,Components of the smart city governance_Roles and responsibilities,61
http://orkg.org/orkg/predicate/P41583,Outcomes_Substantive outputs,61
http://orkg.org/orkg/predicate/P41582,Contextual factors_Local conditions,61
http://orkg.org/orkg/predicate/P37561,Temperature (°C),61
http://orkg.org/orkg/predicate/P41580,Measurements_Component-based measures,61
http://orkg.org/orkg/predicate/P15088,selectivity (%),61
http://orkg.org/orkg/predicate/P37407,Nanoparticle visualisation,61
http://orkg.org/orkg/predicate/P41576,Components of the smart city governance_Technology and data,61
http://orkg.org/orkg/predicate/P41572,Components of the smart city governance_Stakeholders,61
http://orkg.org/orkg/predicate/P15148,Composition,61
http://orkg.org/orkg/predicate/P41573,Components of the smart city governance_Structures and organisations,61
http://orkg.org/orkg/predicate/P15267,oute,61
http://orkg.org/orkg/predicate/P15259,Taxonomy stage: Step,60
http://orkg.org/orkg/predicate/P15141,Demand,60
http://orkg.org/orkg/predicate/P15142,Topology,60
http://orkg.org/orkg/predicate/P15146,Fleet size,60
http://orkg.org/orkg/predicate/P15143,outing,60
http://orkg.org/orkg/predicate/P15092,Analyte,60
http://orkg.org/orkg/predicate/P15085,T (°C),60
http://orkg.org/orkg/predicate/P15260,Computational platform,59
http://orkg.org/orkg/predicate/P15329,Types of literature reviews,59
http://orkg.org/orkg/predicate/P41584,Outcomes_Procedural changes,59
http://orkg.org/orkg/predicate/P15182,Polymer,58
http://orkg.org/orkg/predicate/P37524,Study Location ,58
http://orkg.org/orkg/predicate/P15087,conv (%),57
http://orkg.org/orkg/predicate/P15279,Age,57
http://orkg.org/orkg/predicate/P15290,Number of Objectives,57
http://orkg.org/orkg/predicate/P41379,Open ocean sampling,57
http://orkg.org/orkg/predicate/P41378,Coastal ocean sampling,57
http://orkg.org/orkg/predicate/P15190,Main Result,56
http://orkg.org/orkg/predicate/P34563,has cell line,56
http://orkg.org/orkg/predicate/P15060,Highlights,56
http://orkg.org/orkg/predicate/P41149,Aims,56
http://orkg.org/orkg/predicate/P1005,method,56
http://orkg.org/orkg/predicate/P15592,Critical success factors,55
http://orkg.org/orkg/predicate/P43078,has system qualities,55
http://orkg.org/orkg/predicate/P15591,SCM field,55
http://orkg.org/orkg/predicate/P9008,Modality,55
http://orkg.org/orkg/predicate/P15292,Tool,55
http://orkg.org/orkg/predicate/P25062,Technique used,54
http://orkg.org/orkg/predicate/P41540,Other resources,54
http://orkg.org/orkg/predicate/P41147,Study cohort,54
http://orkg.org/orkg/predicate/P37298,Zeta potential,53
http://orkg.org/orkg/predicate/P34084,Explanation Form,53
http://orkg.org/orkg/predicate/P34085,Explanation Type,53
http://orkg.org/orkg/predicate/P34083,Machine Learning Model Integration,53
http://orkg.org/orkg/predicate/P34078,Reuse Of Knowledge Graph,53
http://orkg.org/orkg/predicate/P34075,Knowledge Graph Type,53
http://orkg.org/orkg/predicate/P34076,Knowledge Graph Semantics,53
http://orkg.org/orkg/predicate/P15155,Protocol,53
http://orkg.org/orkg/predicate/P23156,Setting,53
http://orkg.org/orkg/predicate/P34077,Knowledge Graph Selection,53
http://orkg.org/orkg/predicate/P34079,Number Of Knowledge Graphs,53
http://orkg.org/orkg/predicate/P34086,Explanation Interpretability,53
http://orkg.org/orkg/predicate/P34080,Machine Learning Input,53
http://orkg.org/orkg/predicate/P37135,Journal,53
http://orkg.org/orkg/predicate/P4012,type,53
http://orkg.org/orkg/predicate/P15164,Nature,52
http://orkg.org/orkg/predicate/P40051,Excitation_frequency,52
http://orkg.org/orkg/predicate/P15291,Algorithm(s),51
http://orkg.org/orkg/predicate/P41006,Preprocessing,51
http://orkg.org/orkg/predicate/P34082,Machine Learning Task,51
http://orkg.org/orkg/predicate/P15187,Sample Period,51
http://orkg.org/orkg/predicate/P34081,Machine Learning Method,51
http://orkg.org/orkg/predicate/P15293,Quality Indicators,51
http://orkg.org/orkg/predicate/P15093,Application,51
http://orkg.org/orkg/predicate/P25063,Dataset used,51
http://orkg.org/orkg/predicate/P15602,Backpropagation,50
http://orkg.org/orkg/predicate/P15604,Radial Basis Function,50
http://orkg.org/orkg/predicate/P15601,ADALINE/ Widrow- Hoff,50
http://orkg.org/orkg/predicate/P15603,Perceptron,50
http://orkg.org/orkg/predicate/P41148,Outcome assessment,50
http://orkg.org/orkg/predicate/P15605,Hopfield,50
http://orkg.org/orkg/predicate/P5044,Document type,49
http://orkg.org/orkg/predicate/P35075,Source title,49
http://orkg.org/orkg/predicate/P15091,catalyst,49
http://orkg.org/orkg/predicate/P39115,Organisations,49
http://orkg.org/orkg/predicate/P35074,Author(s) ID,49
http://orkg.org/orkg/predicate/P25060,Language/domain,49
http://orkg.org/orkg/predicate/P35082,Publication Stage,49
http://orkg.org/orkg/predicate/P15241,Y-EC (from ecnomic grwth to energy consumption ),48
http://orkg.org/orkg/predicate/P25064,Evaluation results,48
http://orkg.org/orkg/predicate/P25061,NEs found,48
http://orkg.org/orkg/predicate/P35084,EID,48
http://orkg.org/orkg/predicate/P41532,Evaluation metrics,48
http://orkg.org/orkg/predicate/P15242,Y2EC (feedback hypothesis ),48
http://orkg.org/orkg/predicate/P15243,YaEC neutral hypothesis between energy consumption and economic growth ),48
http://orkg.org/orkg/predicate/P15240,Conclusion (s) EC-Y (from energy consumption to economic growth ),48
http://orkg.org/orkg/predicate/reference,reference,47
http://orkg.org/orkg/predicate/P15330,Paper,47
http://orkg.org/orkg/predicate/P39039,Method of nanomaterial synthesis,47
http://orkg.org/orkg/predicate/P41158,Unit_input_power,47
http://orkg.org/orkg/predicate/P15514,Population under analysis,47
http://orkg.org/orkg/predicate/P15414,Time period,46
http://orkg.org/orkg/predicate/P4055,Has sample size,46
http://orkg.org/orkg/predicate/P41157,Input_power,46
http://orkg.org/orkg/predicate/P15585,Number of patients studied,46
http://orkg.org/orkg/predicate/P41151,Research_objective,45
http://orkg.org/orkg/predicate/P37275,lower number estimated species,45
http://orkg.org/orkg/predicate/P37258,Locus (genetics),45
http://orkg.org/orkg/predicate/P37270,No. of potential undescribed species,45
http://orkg.org/orkg/predicate/P37283,nearest neighbor distance averaged,45
http://orkg.org/orkg/predicate/P35081,Author Keywords,45
http://orkg.org/orkg/predicate/P35085,Index Keywords,45
http://orkg.org/orkg/predicate/P39092,No. of samples (sequences),45
http://orkg.org/orkg/predicate/P15207,Date,45
http://orkg.org/orkg/predicate/P25007,precursors,45
http://orkg.org/orkg/predicate/P39141,Studied taxonomic group (Biology),45
http://orkg.org/orkg/predicate/P37256,Biogeographical region,45
http://orkg.org/orkg/predicate/P41567,Number of identified species with current taxonomy,45
http://orkg.org/orkg/predicate/P41568,Geographic scale (Km²),45
http://orkg.org/orkg/predicate/P39093,Class (Taxonomy - biology),45
http://orkg.org/orkg/predicate/P37271,higher number estimated species,45
http://orkg.org/orkg/predicate/P37272,higher number estimated species (Method),45
http://orkg.org/orkg/predicate/P37395,Cytotoxicity assay,45
http://orkg.org/orkg/predicate/P37273,No. of estimated species,45
http://orkg.org/orkg/predicate/P37274,No. of estimated species (Method),45
http://orkg.org/orkg/predicate/P15511,Measurement type,45
http://orkg.org/orkg/predicate/P37276,lower number estimated species (Method),45
http://orkg.org/orkg/predicate/P37266,Phylum (Biology),45
http://orkg.org/orkg/predicate/P39091,Order (Taxonomy - biology),45
http://orkg.org/orkg/predicate/P37282,Maximum intraspecific distances averaged,45
http://orkg.org/orkg/predicate/P15313,Databases,44
http://orkg.org/orkg/predicate/P41160,Feed_gases,44
http://orkg.org/orkg/predicate/P43090,Emergency Management Phase,44
http://orkg.org/orkg/predicate/P41179,Plasma_discharge,44
http://orkg.org/orkg/predicate/P37196,Season,44
http://orkg.org/orkg/predicate/P15419,Conclusion,44
http://orkg.org/orkg/predicate/P15513,Data and sample size,44
http://orkg.org/orkg/predicate/P14,description,44
http://orkg.org/orkg/predicate/P15516,Over-educa- tion incidence (percentages),44
http://orkg.org/orkg/predicate/P15515,Data collec- tion,44
http://orkg.org/orkg/predicate/P15393,Features,44
http://orkg.org/orkg/predicate/P27022,Study location,44
http://orkg.org/orkg/predicate/P15106,Application Domain,43
http://orkg.org/orkg/predicate/P35080,Cited by,43
http://orkg.org/orkg/predicate/P39140,Particle size of nanoparticles (nm),43
http://orkg.org/orkg/predicate/P4018,Process,43
http://orkg.org/orkg/predicate/P5003,Performance metric,43
http://orkg.org/orkg/predicate/P43089,Focus Group,43
http://orkg.org/orkg/predicate/P37365,Results,43
http://orkg.org/orkg/predicate/P5097,performance,42
http://orkg.org/orkg/predicate/P43204,DNA sequencing technology,42
http://orkg.org/orkg/predicate/P37408,has  drug release studies,42
http://orkg.org/orkg/predicate/P15157,Cluster count,42
http://orkg.org/orkg/predicate/P37259,DNA sequencing method,41
http://orkg.org/orkg/predicate/P15189,Countries and Estimation technique used,41
http://orkg.org/orkg/predicate/P15166,Intra com.,41
http://orkg.org/orkg/predicate/P15170,Objectives,41
http://orkg.org/orkg/predicate/P15698,has location,41
http://orkg.org/orkg/predicate/P37288,Maximum intraspecific distances upper limit,41
http://orkg.org/orkg/predicate/P15172,Alg. Complexity,41
http://orkg.org/orkg/predicate/P15262,Sex,41
http://orkg.org/orkg/predicate/P15083,catalysts,41
http://orkg.org/orkg/predicate/P37286,nearest neighbor distance upper limit,41
http://orkg.org/orkg/predicate/P34062,Concept types,41
http://orkg.org/orkg/predicate/P37285,nearest neighbor distance lower limit,41
http://orkg.org/orkg/predicate/P15084,feedgas composition,41
http://orkg.org/orkg/predicate/url,url,41
http://orkg.org/orkg/predicate/P15171,Clustering Process CH Election,41
http://orkg.org/orkg/predicate/P15173,Dynamism,41
http://orkg.org/orkg/predicate/HAS_DATASET,has dataset,41
http://orkg.org/orkg/predicate/P15169,ole,41
http://orkg.org/orkg/predicate/P37287,Maximum intraspecific distances lower limit,41
http://orkg.org/orkg/predicate/P15256,Evaluator,40
http://orkg.org/orkg/predicate/P15167,Inter com.,40
http://orkg.org/orkg/predicate/P31002,Measure of species relationship,40
http://orkg.org/orkg/predicate/P41878,Data domains,40
http://orkg.org/orkg/predicate/P15165,Cluster Properties Cluster size,40
http://orkg.org/orkg/predicate/P15501,job complexity and routing flexibility,40
http://orkg.org/orkg/predicate/P41612,Related work,40
http://orkg.org/orkg/predicate/P43093,Emergency Type,40
http://orkg.org/orkg/predicate/P15377,Study population,40
http://orkg.org/orkg/predicate/P15502,Sequencing,40
http://orkg.org/orkg/predicate/P31006,WOS search or Cited references,40
http://orkg.org/orkg/predicate/P15471,Year data,40
http://orkg.org/orkg/predicate/P15500,Resources and their constraints,40
http://orkg.org/orkg/predicate/P15504,Pure/hybrid,40
http://orkg.org/orkg/predicate/P43142,paper: Theory / Construct / Model,40
http://orkg.org/orkg/predicate/P15499,Criterion A,40
http://orkg.org/orkg/predicate/P15188,Nominal or real exchange rate used,40
http://orkg.org/orkg/predicate/P15126,Comments,40
http://orkg.org/orkg/predicate/P15503,Mono/multi,40
http://orkg.org/orkg/predicate/P15395,Solution method,39
http://orkg.org/orkg/predicate/P15163,Node type,39
http://orkg.org/orkg/predicate/P15640,Justification/ recommendation,39
http://orkg.org/orkg/predicate/P15396,Solution Exact,39
http://orkg.org/orkg/predicate/P15144,Inventory,39
http://orkg.org/orkg/predicate/P41181,Sensing material,39
http://orkg.org/orkg/predicate/P15255,Educational context,39
http://orkg.org/orkg/predicate/P15639,Feasibility,39
http://orkg.org/orkg/predicate/P15154,Applications,39
http://orkg.org/orkg/predicate/P15145,Fleet composition,39
http://orkg.org/orkg/predicate/P15397,Non-exact,39
http://orkg.org/orkg/predicate/P15584,Disease,39
http://orkg.org/orkg/predicate/P41872,Data coverage,39
http://orkg.org/orkg/predicate/P34021,Infection,38
http://orkg.org/orkg/predicate/P15258,Topic,38
http://orkg.org/orkg/predicate/P43092,paper:Study Type,38
http://orkg.org/orkg/predicate/P34115,Computational intelligence technologie,38
http://orkg.org/orkg/predicate/P7015,Architecture,38
http://orkg.org/orkg/predicate/P15257,Result,38
http://orkg.org/orkg/predicate/P15206,Authors,38
http://orkg.org/orkg/predicate/P36051,Animal model,38
http://orkg.org/orkg/predicate/P37537,Location ,38
http://orkg.org/orkg/predicate/P15386,Second-stage,37
http://orkg.org/orkg/predicate/P37555,Solvent,37
http://orkg.org/orkg/predicate/contains,contains,37
http://orkg.org/orkg/predicate/P15388,Second-stage2,37
http://orkg.org/orkg/predicate/P16018,Output format,37
http://orkg.org/orkg/predicate/P15208,Steel Grade,37
http://orkg.org/orkg/predicate/P34060,Number of concepts,37
http://orkg.org/orkg/predicate/P15387,Decisions First-stage,37
http://orkg.org/orkg/predicate/P5030,Domain,37
http://orkg.org/orkg/predicate/P15385,Objectives First-stage,37
http://orkg.org/orkg/predicate/P5004,Evidence,37
http://orkg.org/orkg/predicate/P15389,Uncertainty on the first-stage,36
http://orkg.org/orkg/predicate/P15384,Flood,36
http://orkg.org/orkg/predicate/P41985,OH,36
http://orkg.org/orkg/predicate/P15335,Factor,36
http://orkg.org/orkg/predicate/P23117,Study groups,36
http://orkg.org/orkg/predicate/P15380,Disaster phase Pre-disaster,36
http://orkg.org/orkg/predicate/P34059,number of papers,36
http://orkg.org/orkg/predicate/P15006,Machine learning algorithms,36
http://orkg.org/orkg/predicate/P15327,Coverage,36
http://orkg.org/orkg/predicate/P15383,Hurricane,36
http://orkg.org/orkg/predicate/P15381,Post-disaster,36
http://orkg.org/orkg/predicate/P23116,Disease definitions (characterization),36
http://orkg.org/orkg/predicate/P15382,Application case Earthquake,36
http://orkg.org/orkg/predicate/P15176,Industry,36
http://orkg.org/orkg/predicate/P25059,Data used,36
http://orkg.org/orkg/predicate/P15042,Incomplete Knowledge,35
http://orkg.org/orkg/predicate/P15586,N (%) with abnormal karyotype,35
http://orkg.org/orkg/predicate/P15041,Matching Result Degrees,35
http://orkg.org/orkg/predicate/P15038,Protocols,35
http://orkg.org/orkg/predicate/P15035,Ontologies,35
http://orkg.org/orkg/predicate/P15036,Inputs/Outputs,35
http://orkg.org/orkg/predicate/P15037,Pre/Post-conditions,35
http://orkg.org/orkg/predicate/P41165,Unit_Ne,35
http://orkg.org/orkg/predicate/P15043,Variational Scope,35
http://orkg.org/orkg/predicate/P15039,QoS,35
http://orkg.org/orkg/predicate/P15044,Heuristics & Simplif.,35
http://orkg.org/orkg/predicate/P41512,Sampling depth (meter) (upper limit),35
http://orkg.org/orkg/predicate/P36029,Baselines,34
http://orkg.org/orkg/predicate/P15244,Conclusion (s) ELC-Y (electricty consumption to economic growth ),33
http://orkg.org/orkg/predicate/P35079,Page end,33
http://orkg.org/orkg/predicate/P29011,Measure of species similarity,33
http://orkg.org/orkg/predicate/P35076,Volume,33
http://orkg.org/orkg/predicate/P15071,System,33
http://orkg.org/orkg/predicate/P15246,Y2E (feedback hypothesis ),33
http://orkg.org/orkg/predicate/P15247,YaELC (neutral hypothesis between electricty consumption and economic growth),33
http://orkg.org/orkg/predicate/P37236,research_target,33
http://orkg.org/orkg/predicate/P41528,Pressure,33
http://orkg.org/orkg/predicate/P1004,model,33
http://orkg.org/orkg/predicate/P18087,Uses dataset,33
http://orkg.org/orkg/predicate/P15245,Y-ELC (from ecnomic grwth to electricty consumption ),33
http://orkg.org/orkg/predicate/P15024,Disadvantages,33
http://orkg.org/orkg/predicate/P35078,Page start,33
http://orkg.org/orkg/predicate/P43091,paper: Theory / Concept / Model,33
http://orkg.org/orkg/predicate/P4056,has methodology,32
http://orkg.org/orkg/predicate/P30003,number of plant species,32
http://orkg.org/orkg/predicate/P15376,Aim of the study,32
http://orkg.org/orkg/predicate/P41185,Limit of detection (ppm),32
http://orkg.org/orkg/predicate/P15671,Data repositories,32
http://orkg.org/orkg/predicate/P15122,Population,32
http://orkg.org/orkg/predicate/P9042,Approaches,32
http://orkg.org/orkg/predicate/P15160,Mobility,32
http://orkg.org/orkg/predicate/P41188,Sensing environment,32
http://orkg.org/orkg/predicate/P37134,Identifier,31
http://orkg.org/orkg/predicate/P5029,Disk,31
http://orkg.org/orkg/predicate/P41072,Primary production unit is different in paper,31
http://orkg.org/orkg/predicate/P15375,n,31
http://orkg.org/orkg/predicate/P37133,BibliographyType,31
http://orkg.org/orkg/predicate/P25005,chemical doping method,31
http://orkg.org/orkg/predicate/P25006,doping elements,31
http://orkg.org/orkg/predicate/P5027,Aggregation,31
http://orkg.org/orkg/predicate/P15075,Incr.,31
http://orkg.org/orkg/predicate/P15076,App. Type,31
http://orkg.org/orkg/predicate/P15483,Capacity (MWth),31
http://orkg.org/orkg/predicate/P25008,visible-light driven photocatalysis,31
http://orkg.org/orkg/predicate/P15089,SV (ml·g −1·h−1cat),31
http://orkg.org/orkg/predicate/P5026,Sampling,31
http://orkg.org/orkg/predicate/P41987,Al-OH,30
http://orkg.org/orkg/predicate/P15191,Name,30
http://orkg.org/orkg/predicate/P37406,Drug loading,30
http://orkg.org/orkg/predicate/P43106,Type of cyclodextrin,30
http://orkg.org/orkg/predicate/P35086,Art. No.,30
http://orkg.org/orkg/predicate/P7095,produces,30
http://orkg.org/orkg/predicate/P5006,Limitations,30
http://orkg.org/orkg/predicate/P15580,Product,30
http://orkg.org/orkg/predicate/P15052,Accuracy/Results,30
http://orkg.org/orkg/predicate/P37396,IC50 of Drug loaded nanoparticles,30
http://orkg.org/orkg/predicate/P15590,Type of abnormalities,30
http://orkg.org/orkg/predicate/P15209,Special Notes,30
http://orkg.org/orkg/predicate/P41325,Learning method,29
http://orkg.org/orkg/predicate/P37319,Coastal/open ocean,29
http://orkg.org/orkg/predicate/P37398,IC50 of Drug solution,29
http://orkg.org/orkg/predicate/P15588,N (% abnormal) with abnormal chromosome 1,29
http://orkg.org/orkg/predicate/P37243,Plasma_Type,29
http://orkg.org/orkg/predicate/P16017,Input format,29
http://orkg.org/orkg/predicate/P37201,Sampling depth covered,29
http://orkg.org/orkg/predicate/P15673,With a gold standard,29
http://orkg.org/orkg/predicate/P41550,Response time (s),28
http://orkg.org/orkg/predicate/P15390,Special features,28
http://orkg.org/orkg/predicate/P25011,Light Source,28
http://orkg.org/orkg/predicate/P15229,Correlation,28
http://orkg.org/orkg/predicate/P25010,Co-Catalyst,28
http://orkg.org/orkg/predicate/P34594,Number of entities,28
http://orkg.org/orkg/predicate/P18017,has comparisons,28
http://orkg.org/orkg/predicate/P15520,Min. size [m],28
http://orkg.org/orkg/predicate/P36057,Utilities in CrowdRE,28
http://orkg.org/orkg/predicate/P41511,Sampling depth (meter) (lower limit),28
http://orkg.org/orkg/predicate/P37101,Study Area ,28
http://orkg.org/orkg/predicate/P36056,RE activities with crowd involvement,28
http://orkg.org/orkg/predicate/P39038,ZnO form,28
http://orkg.org/orkg/predicate/P15642,Intestinal operation,28
http://orkg.org/orkg/predicate/P5002,uses similarity,28
http://orkg.org/orkg/predicate/P15022,Algorithm name,28
http://orkg.org/orkg/predicate/P37403,Poly dispercity index (PDI),28
http://orkg.org/orkg/predicate/P37382,Fabrication methods,28
http://orkg.org/orkg/predicate/P15285,Surgery,28
http://orkg.org/orkg/predicate/P15266,Container flow,27
http://orkg.org/orkg/predicate/P18057,has assay format,27
http://orkg.org/orkg/predicate/P15646,Surgical procedure,27
http://orkg.org/orkg/predicate/P15647,Endoscopy,27
http://orkg.org/orkg/predicate/P39120,"Open circuit voltage, Voc (V)",27
http://orkg.org/orkg/predicate/P15645,intermediate care unit/ Sepsis,27
http://orkg.org/orkg/predicate/P15283,Symptoms and signs,27
http://orkg.org/orkg/predicate/P37198,Method (primary production),27
http://orkg.org/orkg/predicate/P15641,inflammatory bowel disease,27
http://orkg.org/orkg/predicate/P15643,Recent in- hospital treatment/ operation,27
http://orkg.org/orkg/predicate/P15644,Recent antibiotic therapy,27
http://orkg.org/orkg/predicate/P40054,Input_power[W],27
http://orkg.org/orkg/predicate/P40050,Excitation_type,27
http://orkg.org/orkg/predicate/P15280,Site,27
http://orkg.org/orkg/predicate/P15168,CH Properties Mobility,27
http://orkg.org/orkg/predicate/P37136,Annote,27
http://orkg.org/orkg/predicate/P37333,Research Area,27
http://orkg.org/orkg/predicate/P36002,Total teams,27
http://orkg.org/orkg/predicate/P18058,Has participant,27
http://orkg.org/orkg/predicate/P15649,Deceased,27
http://orkg.org/orkg/predicate/P37450,Analysis,27
http://orkg.org/orkg/predicate/P15286,RT/Neoadjuvant or adjuvant CT,27
http://orkg.org/orkg/predicate/P39122,"Short-circuit current density, Jsc (mA/cm2)",27
http://orkg.org/orkg/predicate/P41523,N2 fixation rate unit is different in paper,27
http://orkg.org/orkg/predicate/P15357,Techniques,27
http://orkg.org/orkg/predicate/P15063,Major Contributions,27
http://orkg.org/orkg/predicate/P37433,Film deposition method,27
http://orkg.org/orkg/predicate/P15648,Treatment,27
http://orkg.org/orkg/predicate/P37137,Custom1,27
http://orkg.org/orkg/predicate/P40049,Intended_Application,27
http://orkg.org/orkg/predicate/P39119,"Fill factor, FF (%)",27
http://orkg.org/orkg/predicate/P40052,Feed_gas,26
http://orkg.org/orkg/predicate/P15505,Country / Plant part CS,26
http://orkg.org/orkg/predicate/P15665,Background information,26
http://orkg.org/orkg/predicate/P18060,is bioassay type of,26
http://orkg.org/orkg/predicate/P40053,Gas _flow _rate[slm],26
http://orkg.org/orkg/predicate/P18061,has assay method,26
http://orkg.org/orkg/predicate/P15510,Main components (P5%),26
