researchproblem,researchproblemLabel,paperCount
http://orkg.org/orkg/resource/R28521,Embryonal sarcoma of the liver,51
http://orkg.org/orkg/resource/R6544,Automatic text summarization,51
http://orkg.org/orkg/resource/R33975,Salinity markers,50
http://orkg.org/orkg/resource/R32426,Over-education,47
http://orkg.org/orkg/resource/R151715,X-ray laser physics,47
http://orkg.org/orkg/resource/R45097,TiO2 Photocatalysis,46
http://orkg.org/orkg/resource/R5007,digital twin,45
http://orkg.org/orkg/resource/R142714,Smart city ontology,45
http://orkg.org/orkg/resource/R108990,VUV spectroscopy in low pressure plasmas,45
http://orkg.org/orkg/resource/R34186,African monetary unions,45
http://orkg.org/orkg/resource/R34708,Diagnostic accuracy in ophthalmolog,43
http://orkg.org/orkg/resource/R27126,Exchange rate volatility,42
http://orkg.org/orkg/resource/R112477,Future energy and emission scenario predictions,42
http://orkg.org/orkg/resource/R12219,COVID-19 reproductive number,41
http://orkg.org/orkg/resource/R2061,Question Answering,41
http://orkg.org/orkg/resource/R39009,Predicting the evolution of 2019-nCoV,41
http://orkg.org/orkg/resource/R32066,Scheduling problems,40
http://orkg.org/orkg/resource/R27729,Educational Games,40
http://orkg.org/orkg/resource/R149102,E-government competence ,38
http://orkg.org/orkg/resource/R27280,Residual stresses during fatigue,37
http://orkg.org/orkg/resource/R30583,Eye localization,37
http://orkg.org/orkg/resource/R52145,Testing the limiting similarity hypothesis in invasion biology,36
http://orkg.org/orkg/resource/R34497,Anonymisation in social network,36
http://orkg.org/orkg/resource/R25962,Document Structure Analysis Algorithms,35
http://orkg.org/orkg/resource/R25259,Fuzzy Service Matching,35
http://orkg.org/orkg/resource/R137500,Indicators for smart sustainable cities,34
http://orkg.org/orkg/resource/R145287,Spectral lines broadening in plasmas,34
http://orkg.org/orkg/resource/R139327,Chemical sensors,34
http://orkg.org/orkg/resource/R34127,Genetically Modified Crops,32
http://orkg.org/orkg/resource/R25667,Data Visualization,32
http://orkg.org/orkg/resource/R30650,Oral dental erosion,32
http://orkg.org/orkg/resource/R6228,Question answering systems evaluation,31
http://orkg.org/orkg/resource/R44546,Determination of the COVID-19 basic reproduction number,31
http://orkg.org/orkg/resource/R46145,Niobium-Based Materials for Photocatalytic Solar Fuel Production,31
http://orkg.org/orkg/resource/R34606,Data Completeness in Healthcare,31
http://orkg.org/orkg/resource/R151499,Cyclodextrin complexes to enhance drug solubilty or bioavailabilty,31
http://orkg.org/orkg/resource/R6000,Author name disambiguation,30
http://orkg.org/orkg/resource/R46594,Learning-based Named Entity Recognition and Classification system,30
http://orkg.org/orkg/resource/R116569,Relation Extraction,29
http://orkg.org/orkg/resource/R137376,Application relevant atmospheric pressure plasma jets,29
http://orkg.org/orkg/resource/R76156,Focus of Crowd-based Requirements Engineering,28
http://orkg.org/orkg/resource/R25901,Lateral flow (immuno)assay,28
http://orkg.org/orkg/resource/R146783,Organic solar cells,28
http://orkg.org/orkg/resource/R139061,Diagnostics of high pressure low temperature plasmas.,28
http://orkg.org/orkg/resource/R27404,Refrigerant Evaporators,28
http://orkg.org/orkg/resource/R26370,Oil,27
http://orkg.org/orkg/resource/R34321,Clostridium difficile infection,27
http://orkg.org/orkg/resource/R25530,Model-driven Game Development,26
http://orkg.org/orkg/resource/R34760,Eggshell thickness erosion,26
http://orkg.org/orkg/resource/R31726,Contamination in retail meats,24
http://orkg.org/orkg/resource/R76572,Effect of the COVID-19 pandemic on well-being,24
http://orkg.org/orkg/resource/R25448,Blood Glucose Monitoring,23
http://orkg.org/orkg/resource/R9143,Question Answering ,23
http://orkg.org/orkg/resource/R26018,Adhesively bonded joints,22
http://orkg.org/orkg/resource/R9223,CMIP5,21
http://orkg.org/orkg/resource/R110161,Polymeric nanoparticles for cancer treatment,21
http://orkg.org/orkg/resource/R76427,Language resource,21
http://orkg.org/orkg/resource/R147009,Drug delivery across the blood brain barrier,21
http://orkg.org/orkg/resource/R9224,Global climate modelling,21
http://orkg.org/orkg/resource/R32872,Information in Public Sector,21
http://orkg.org/orkg/resource/R26064,Factors influencing human comfort,21
http://orkg.org/orkg/resource/R25727,Utility Sentient Frequent Itemset Mining and Association Rule Mining,21
http://orkg.org/orkg/resource/R31216,Middle-Income Trap,21
http://orkg.org/orkg/resource/R76803,User feedback classification approaches,20
http://orkg.org/orkg/resource/R26108,Informal sector,20
http://orkg.org/orkg/resource/R33857,Ant Colony Optimization,20
http://orkg.org/orkg/resource/R123009,Scientific Concept Extraction,19
http://orkg.org/orkg/resource/R25117,In-Vehicle Light Displays,19
http://orkg.org/orkg/resource/R6404,Graph-based visualization systems,19
http://orkg.org/orkg/resource/R141388,The role of nanotechnology in COVID-19 outbreak,18
http://orkg.org/orkg/resource/R124682,Text Summarization,18
http://orkg.org/orkg/resource/R78054,Covid-19_Infectious Disease,18
http://orkg.org/orkg/resource/R25586,Agile Usage,18
http://orkg.org/orkg/resource/R138291,Recommender systems for Smart city,17
http://orkg.org/orkg/resource/R6227,Question answering systems,17
http://orkg.org/orkg/resource/R147137,Nitrogen fixation rates estimation in the Pacific Ocean,17
http://orkg.org/orkg/resource/R30477,Physical activity coaching systems,17
http://orkg.org/orkg/resource/R31690,Design Patterns for Software Quality,17
http://orkg.org/orkg/resource/R31770,Cytosine methylation in plants,17
http://orkg.org/orkg/resource/R67666,Testing the island susceptibility hypothesis in invasion biology,17
http://orkg.org/orkg/resource/R117118,Machine Translation,16
http://orkg.org/orkg/resource/R74030,Information Extraction,16
http://orkg.org/orkg/resource/R41114,Silicon electrochemistry ,16
http://orkg.org/orkg/resource/R108294,Enterprise engineering,16
http://orkg.org/orkg/resource/R138463,Ontology learning from XML documents,16
http://orkg.org/orkg/resource/R25630,Warehouse Picking Systems acceptance,16
http://orkg.org/orkg/resource/R146031,Smart city digital transformation,16
http://orkg.org/orkg/resource/R41001,COVID-19 case fatality rate,16
http://orkg.org/orkg/resource/R69645,Rule-based Machine Learning,16
http://orkg.org/orkg/resource/R25496,Crowdfunding for Extracting Feedback,16
http://orkg.org/orkg/resource/R76457,cross-lingual binary LE detection,15
http://orkg.org/orkg/resource/R76456,cross-lingual graded LE prediction,15
http://orkg.org/orkg/resource/R33582,IQ stability,15
http://orkg.org/orkg/resource/R141350,Nitrogen fixation rates estimation in the Atlantic Ocean,15
http://orkg.org/orkg/resource/R25403,Web Service  Reliability,15
http://orkg.org/orkg/resource/R10021,Knowledge Graph Creation,15
http://orkg.org/orkg/resource/R140235,Nanoparticles for the management of inflammatory bowel disease (IBD),15
http://orkg.org/orkg/resource/R149919,Ontology learning from images,15
http://orkg.org/orkg/resource/R25224,Arabic Opinion Mining,15
http://orkg.org/orkg/resource/R44679,Psychotherapy for Depression,15
http://orkg.org/orkg/resource/R147583,Scientific concept annotation,15
http://orkg.org/orkg/resource/R69574,Natural Language Applications,14
http://orkg.org/orkg/resource/R75890,hate speech detection,14
http://orkg.org/orkg/resource/R25065,Personality Recognition from Online Social Networks,14
http://orkg.org/orkg/resource/R27070,Immobilization of Enzymes,14
http://orkg.org/orkg/resource/R144394,PLGA-based nanoparticles for drug delivery to the brain,14
http://orkg.org/orkg/resource/R74029,Knowledge Graph Construction,14
http://orkg.org/orkg/resource/R69026,bacterial toxins,14
http://orkg.org/orkg/resource/R25162,Automatic Signature Verification,14
http://orkg.org/orkg/resource/R76956,Ranking,14
http://orkg.org/orkg/resource/R75891,multimodal hate speech detection,13
http://orkg.org/orkg/resource/R28890,Automated wafer-transport systems,13
http://orkg.org/orkg/resource/R141617,Performance of gas sensors based on ZnO nanostructures,13
http://orkg.org/orkg/resource/R142135,Nanothermometer,13
http://orkg.org/orkg/resource/R69069,Doppeltes Mandat der Jugendarbeit,13
http://orkg.org/orkg/resource/R111324,ecological parthenogenesis,12
http://orkg.org/orkg/resource/R9192,comparison of DNA sequencing techniques,12
http://orkg.org/orkg/resource/R140582,Nitrogen uptake rates assessment in the Indian Ocean,12
http://orkg.org/orkg/resource/R138292,Intelligent systems for Smart city,12
http://orkg.org/orkg/resource/R109107,Social Networks,12
http://orkg.org/orkg/resource/R8251,Scholarly Ontologies,12
http://orkg.org/orkg/resource/R9497,Scholarly Ontologies,12
http://orkg.org/orkg/resource/R76302,Predict contextual human perception of similarity,12
http://orkg.org/orkg/resource/R30548,Security Challenges in Vehicle Ad-hoc Networks,12
http://orkg.org/orkg/resource/R9530,Scholarly Ontologies,12
http://orkg.org/orkg/resource/R34665,Load Balancing Schemes in Cloud Computing,12
http://orkg.org/orkg/resource/R139604,Improving the efficiency of perovskite solar cells,12
http://orkg.org/orkg/resource/R32915,Treatment with corticosteroids,12
http://orkg.org/orkg/resource/R28103,Epidemiology and pathology of gangliocytic paraganglioma,12
http://orkg.org/orkg/resource/R146204,Epidemiological surveillance,12
http://orkg.org/orkg/resource/R76227,Predicting change of human similarity ratings for pairs of words in two different contexts,12
http://orkg.org/orkg/resource/R76228,Predicting change of human similarity ratings for words,12
http://orkg.org/orkg/resource/R69529,Image Recognition,11
http://orkg.org/orkg/resource/R31177,Population genetic algorithms,11
http://orkg.org/orkg/resource/R142569,Nanocrystals for cancer treatment,11
http://orkg.org/orkg/resource/R32030,Domain Adaptation Algorithms,11
http://orkg.org/orkg/resource/R74406,Open Education,11
http://orkg.org/orkg/resource/R34431,Facial Expression Recognition,11
http://orkg.org/orkg/resource/R74148,Indicators for a smart city,11
http://orkg.org/orkg/resource/R3070,Breast cancer,11
http://orkg.org/orkg/resource/R6481,Generic visualization systems,11
http://orkg.org/orkg/resource/R27237,Robotics Middleware,11
http://orkg.org/orkg/resource/R25362,Software Traceability Approaches,11
http://orkg.org/orkg/resource/R151501,Ocular drug delivery,11
http://orkg.org/orkg/resource/R46653,Hybrid Named Entity Recognition and Classification system,11
http://orkg.org/orkg/resource/R109069,Open Education,11
http://orkg.org/orkg/resource/R151623,Nasal drug delivery,10
http://orkg.org/orkg/resource/R143860,Ontology learning from Folkosonomies,10
http://orkg.org/orkg/resource/R33794,Copy number variations Calling Algorithms,10
http://orkg.org/orkg/resource/R34101,Multiple sclerosis,10
http://orkg.org/orkg/resource/R46575,Rule-based Named Entity Recognition and Classification system,10
http://orkg.org/orkg/resource/R141664,Nanothermometer,10
http://orkg.org/orkg/resource/R27040,Smart cities,10
http://orkg.org/orkg/resource/R141122,Development of microelectromechanical systems (MEMS) switches,10
http://orkg.org/orkg/resource/R147168,Picophytoplankton abundance estimation in the Ocean,10
http://orkg.org/orkg/resource/R1033,Scholarly communications representation,10
http://orkg.org/orkg/resource/R25202,Content Distribution in P2P Networks,10
http://orkg.org/orkg/resource/R76955,Binary classification,10
http://orkg.org/orkg/resource/R148397,Lipid vesicles for psoriasis therapy,10
http://orkg.org/orkg/resource/R69628,Recommender Systems,10
http://orkg.org/orkg/resource/R25028,Active learning,10
http://orkg.org/orkg/resource/R25094,Participatory Design evaluations,10
http://orkg.org/orkg/resource/R151355,Development of biosensors based on nanomaterials ,10
http://orkg.org/orkg/resource/R148355,Performance of  Gas Sensors Based on Tungsten Oxide Nanomaterials,10
http://orkg.org/orkg/resource/R109568,Biological nitrogen fixation assessment in the Indian Ocean,10
http://orkg.org/orkg/resource/R139941,Thermal accelerometers performance enhancements ,10
http://orkg.org/orkg/resource/R138186,Performance of emerging piezoresistive materials in flexible sensor applications,9
http://orkg.org/orkg/resource/R118765,Self-Supervised Action Recognition,9
http://orkg.org/orkg/resource/R135954,Ontology learning from source code,9
http://orkg.org/orkg/resource/R34412,Electric vehicles noise,9
http://orkg.org/orkg/resource/R27381,Power systems,9
http://orkg.org/orkg/resource/R135925,Improving the performance of CdTe thin film solar cells,9
http://orkg.org/orkg/resource/R38654,Solubility parameters,9
http://orkg.org/orkg/resource/R155562,Pulmonary drug delivery,9
http://orkg.org/orkg/resource/R34461,Production and cost functions,9
http://orkg.org/orkg/resource/R109071,Knowledge Representation,9
http://orkg.org/orkg/resource/R124044,Cross-Lingual Document Classification,8
http://orkg.org/orkg/resource/R31282,Face Expression Recognition,8
http://orkg.org/orkg/resource/R34275,machine translation,8
http://orkg.org/orkg/resource/R70863,Overview of several scholarly databases and their properties,8
http://orkg.org/orkg/resource/R28698,reordering errors    ,8
http://orkg.org/orkg/resource/R137056,Activation of C-O bond,8
http://orkg.org/orkg/resource/R142303,Ontology Learning from Entity Relation Model,8
http://orkg.org/orkg/resource/R156227,Copper-based photoredox catalyst,8
http://orkg.org/orkg/resource/R74277,Standard for city services,8
http://orkg.org/orkg/resource/R30514,Energy usage for electric loads,8
http://orkg.org/orkg/resource/R28942,Software Project Risks,8
http://orkg.org/orkg/resource/R144785, Application of Gallium Oxide Films in Photodetectors,8
http://orkg.org/orkg/resource/R155279, Performance of  fiber optic strain sensors,8
http://orkg.org/orkg/resource/R33954,Image Steganographic Techniques,8
http://orkg.org/orkg/resource/R143691,Improving the performance of flexible strain sensors based on carbon nanomaterials,8
http://orkg.org/orkg/resource/R110938,Rare-earth complexes and their applications,8
http://orkg.org/orkg/resource/R70668,ICT attitudes in PISA,8
http://orkg.org/orkg/resource/R110350,Libraries as third places.,8
http://orkg.org/orkg/resource/R44946,Psychotherapeutic Interventions in Cancer,8
http://orkg.org/orkg/resource/R148159,Performance of Fiber Optic Temperature Sensors,8
http://orkg.org/orkg/resource/R144063,Nanothermometer,7
http://orkg.org/orkg/resource/R142250,COVID-19 Vaccine,7
http://orkg.org/orkg/resource/R68831,"1-Allyloxy-2,3-epoxypropan",7
http://orkg.org/orkg/resource/R159007,Stability of ozone in solution,7
http://orkg.org/orkg/resource/R110463,Business architecture development,7
http://orkg.org/orkg/resource/R74283,Standards for smart cities,7
http://orkg.org/orkg/resource/R135921,effectiveness and relevance of the FAIR Data Principles,7
http://orkg.org/orkg/resource/R137498,Indicator types selection for smart sustainable cities,7
http://orkg.org/orkg/resource/R145516,Performance of thin-film transistors,7
http://orkg.org/orkg/resource/R139272,Improving the sensitivity of glucose biosensor,7
http://orkg.org/orkg/resource/R9325,comparison of available next-generation sequencing platforms,7
http://orkg.org/orkg/resource/R107644,Data Quality,7
http://orkg.org/orkg/resource/R44963,Psychodrama psychotherapy,7
http://orkg.org/orkg/resource/R141872,Exploring the piezoelectric properties of AlN films for device applications,7
http://orkg.org/orkg/resource/R12077,Multimodal information retrieval,7
http://orkg.org/orkg/resource/R142511,Ontology learning from Thesauri,7
http://orkg.org/orkg/resource/R138403,Primary production assessment in the Arabian Sea,7
http://orkg.org/orkg/resource/R74409,Knowledge Representation,7
http://orkg.org/orkg/resource/R51405,potential inhibitors of SARS-CoV-2 replication,7
http://orkg.org/orkg/resource/R135555,Improving the sensitivity and performance of flexible capacitive pressure sensor,7
http://orkg.org/orkg/resource/R137358,Effect of dopant type on the characteristics of ZnO-based heterojunction diodes,7
http://orkg.org/orkg/resource/R143723,Development of Glucose Sensors Based on Nanomaterials,7
http://orkg.org/orkg/resource/R74391,Semantic Search,7
http://orkg.org/orkg/resource/R68777,Aflatoxine,7
http://orkg.org/orkg/resource/R28493,Power Cycle Testing,7
http://orkg.org/orkg/resource/R4090,Short tern load forecasting,7
http://orkg.org/orkg/resource/R138426,Lignin decomposition,7
http://orkg.org/orkg/resource/R28734,lexical and syntactic ambiguity,7
http://orkg.org/orkg/resource/R155374,Performance of strain sensors based on 2D materials ,7
http://orkg.org/orkg/resource/R109059,Semantic Search,7
http://orkg.org/orkg/resource/R67808,Platform performances for big data analytics,7
http://orkg.org/orkg/resource/R155888,Iridium-based photoredox catalyst,7
http://orkg.org/orkg/resource/R110464,Enterprise transformation: IT and methodology support ,7
http://orkg.org/orkg/resource/R110465,Enterprise modeling,7
http://orkg.org/orkg/resource/R27265,University entrepreneurship categories,6
http://orkg.org/orkg/resource/R76453,Monolingual graded LE prediction,6
http://orkg.org/orkg/resource/R138572,C-C bond cleavage,6
http://orkg.org/orkg/resource/R76099,Commonsense explanation,6
http://orkg.org/orkg/resource/R121349,Robotic Grasping,6
http://orkg.org/orkg/resource/R147184,Primary production estimation in the Atlantic Ocean,6
http://orkg.org/orkg/resource/R144273,Line broadening in plasmas,6
http://orkg.org/orkg/resource/R27465,Workforce Age and Innovation,6
http://orkg.org/orkg/resource/R76452,Monolingual binary LE detection,6
http://orkg.org/orkg/resource/R110424,The bacterial hill coefficient,6
http://orkg.org/orkg/resource/R69613,Predictive Machine Learning,6
http://orkg.org/orkg/resource/R4961,Federated Query Processing,6
http://orkg.org/orkg/resource/R12024,Optimisation problem,6
http://orkg.org/orkg/resource/R155563,Picophytoplankton abundance estimation in the Indian Ocean,6
http://orkg.org/orkg/resource/R36029,Table extraction,6
http://orkg.org/orkg/resource/R149134,Super magnetic iron oxide nanoparticles,6
http://orkg.org/orkg/resource/R39164,Social media analytics,6
http://orkg.org/orkg/resource/R68293,Acetaldehyd,6
http://orkg.org/orkg/resource/R44086,determining the potential impact of control measures in mitigating 2019-nCoV,6
http://orkg.org/orkg/resource/R139590,Smart City framework,6
http://orkg.org/orkg/resource/R155347,Development of high-performance IGZO TFTs,6
http://orkg.org/orkg/resource/R32942,Skin salt interaction,6
http://orkg.org/orkg/resource/R75555,Antimicrobial activity,6
http://orkg.org/orkg/resource/R41637,Sequencing of the SARS-CoV-2 genome,6
http://orkg.org/orkg/resource/R68994,type of lysine catabolic pathway,5
http://orkg.org/orkg/resource/R107733,Effective Messaging,5
http://orkg.org/orkg/resource/R111756,Three-way Classification,5
http://orkg.org/orkg/resource/R12064,Simple assembly line balancing problem (SALBP),5
http://orkg.org/orkg/resource/R110520,Anthropogenic sources of major ions evolution in urban groundwater chemistry,5
http://orkg.org/orkg/resource/R68391,Acetonitril,5
http://orkg.org/orkg/resource/R138541,Ontology learning from databases,5
http://orkg.org/orkg/resource/R68305,Acetamid,5
http://orkg.org/orkg/resource/R109585,Biological nitrogen fixation assessment in the Arabian Sea,5
http://orkg.org/orkg/resource/R68859,Aluminiumoxid,5
http://orkg.org/orkg/resource/R120473,Knowledge Graph Completion,5
http://orkg.org/orkg/resource/R12023,Assembly line balancing problem (ALBP),5
http://orkg.org/orkg/resource/R34952,Problem settings of graph embedding,5
http://orkg.org/orkg/resource/R25025,Link Discovery,5
http://orkg.org/orkg/resource/R1032,Structured descriptions of research contributions,5
http://orkg.org/orkg/resource/R135259,Theoretical considerations on the performance of nanocantilevers as biosensors,5
http://orkg.org/orkg/resource/R110949,Synthesis of cobinamide,5
http://orkg.org/orkg/resource/R68865,Aluminiumsilikatfasern,5
http://orkg.org/orkg/resource/R108870,Comparison of drug-drug interaction prediction,5
http://orkg.org/orkg/resource/R110828,The frequency of obstructive sleep apnea (OSA) in patients with mucopolysaccharidosis (MPS),5
http://orkg.org/orkg/resource/R135444,Understanding and exploring the piezoelectric properties of ZnO nanomaterials for devices,5
http://orkg.org/orkg/resource/R110566,Semantic Representation in Music,5
http://orkg.org/orkg/resource/R74011,entity linking,5
http://orkg.org/orkg/resource/R138352,Primary production assessment in the Bay of Bengal,5
http://orkg.org/orkg/resource/R117322,Unsupervised Machine Translation,5
http://orkg.org/orkg/resource/R34954,Graph embedding enabled applications,5
http://orkg.org/orkg/resource/R144877,Spectral lines  broadening in plasmas,5
http://orkg.org/orkg/resource/R124628,Knowledge Graph Embedding,5
http://orkg.org/orkg/resource/R120724,Natural Language Inference,5
http://orkg.org/orkg/resource/R122330,Audio Classification,5
http://orkg.org/orkg/resource/R140210,Multi-relational Representation Learning,5
http://orkg.org/orkg/resource/R120250,Data-to-Text Generation,5
http://orkg.org/orkg/resource/R74272,City dashboards,5
http://orkg.org/orkg/resource/R68281,Abietinsäure,5
http://orkg.org/orkg/resource/R135744,Lipid-based nanoparticles for cancer treatment,5
http://orkg.org/orkg/resource/R123710,Neural Architecture Search,5
http://orkg.org/orkg/resource/R34953,Graph embedding techniques,5
http://orkg.org/orkg/resource/R8343,Semantic representation of scholarly communication,5
http://orkg.org/orkg/resource/R68400,Acetylaceton,5
http://orkg.org/orkg/resource/R75664,Prevalence of epilepsy in Europe,4
http://orkg.org/orkg/resource/R123466,Robot Navigation,4
http://orkg.org/orkg/resource/R68771,Adipinsäuredimethylester,4
http://orkg.org/orkg/resource/R76090,Commonsense validation,4
http://orkg.org/orkg/resource/R68853,α-Aluminiumoxid,4
http://orkg.org/orkg/resource/R2059,Relation linking,4
http://orkg.org/orkg/resource/R109391,Biological nitrogen fixation and primary production assessment in the Indian Ocean,4
http://orkg.org/orkg/resource/R109471,Damage detection,4
http://orkg.org/orkg/resource/R68376,Acetessigsäureethylester,4
http://orkg.org/orkg/resource/R109063,Linked Data Interoperability,4
http://orkg.org/orkg/resource/R109036,DDI prediction,4
http://orkg.org/orkg/resource/R109358,How to enhance Cyber security,4
http://orkg.org/orkg/resource/R75954,Recognizing Counterfactual Statements,4
http://orkg.org/orkg/resource/R109783,COVID-19,4
http://orkg.org/orkg/resource/R75955,RCS,4
http://orkg.org/orkg/resource/R68946,Data Publishing,4
http://orkg.org/orkg/resource/R68847,"Aluminium-, Aluminiumoxid- und Aluminiumhydroxid-haltige Stäube",4
http://orkg.org/orkg/resource/R73161,Persistent Identification,4
http://orkg.org/orkg/resource/R49584,Knowledge representation for scholarly communication,4
http://orkg.org/orkg/resource/R68826,"1-(2-(Allyloxy)-2-(2,4-dichlorphenyl)ethyl)-1H-imidazol (Imazalil)",4
http://orkg.org/orkg/resource/R142392,Ontology learning from Unified Modeling Language,4
http://orkg.org/orkg/resource/R128971,Fairness,4
http://orkg.org/orkg/resource/R111698,Fact Checking in Community Question Answering Forums,4
http://orkg.org/orkg/resource/R68811,Alkylethercarbonsäuren,4
http://orkg.org/orkg/resource/R38900,Multi-agent systems,4
http://orkg.org/orkg/resource/R135221,Impact of Covid-19 on mobility behaviour,4
http://orkg.org/orkg/resource/R140302,Ontology Embedding,4
http://orkg.org/orkg/resource/R140304,Representation Learning on Biomedical Data,4
http://orkg.org/orkg/resource/R125884,Text Classification,4
http://orkg.org/orkg/resource/R110620,maternal hypercholesterolemia and atherosclerosis in off spring,4
http://orkg.org/orkg/resource/R110663,Time complexity of group betweenness centrality (GBC) computations,4
http://orkg.org/orkg/resource/R74397,Linked Data Interoperability,4
http://orkg.org/orkg/resource/R70452,Biomedical Research on Acute Lymphoblastic Leukemia (ALL),4
http://orkg.org/orkg/resource/R124558,Sentence Embeddings For Biomedical Texts,4
http://orkg.org/orkg/resource/R110040,mixed language in Belarus ,4
http://orkg.org/orkg/resource/R9144,Question Answering in the Semantic Web,4
http://orkg.org/orkg/resource/R12071,Optimization problem,4
http://orkg.org/orkg/resource/R76001,DAC,4
http://orkg.org/orkg/resource/R110710,Antiviral Compounds from Natural Sources,4
http://orkg.org/orkg/resource/R122620,Sentiment Analysis,4
http://orkg.org/orkg/resource/R128448,Music Modeling,4
http://orkg.org/orkg/resource/R111372,Damage detection in samples,4
http://orkg.org/orkg/resource/R135709,Ion pairing effect in heptamethine cyanine dyes,4
http://orkg.org/orkg/resource/R11034,Information retrieval,4
http://orkg.org/orkg/resource/R76000,Detecting Antecedent and Consequent,4
http://orkg.org/orkg/resource/R68801,"Alkylamine, C11–C14-verzweigte, Monohexyl- und Dihexylphosphate",4
http://orkg.org/orkg/resource/R110013,"To estimate total organic carbon, an important source rock characterization parameter, using well logs.",4
http://orkg.org/orkg/resource/R140587,Global Climate Change,4
http://orkg.org/orkg/resource/R68792,Alkalibenzoate,4
http://orkg.org/orkg/resource/R68806,"Alkylbenzolsulfonate C10–C14, lineare",4
http://orkg.org/orkg/resource/R68817,Allgemeiner Staubgrenzwert (alveolengängige Fraktion),4
http://orkg.org/orkg/resource/R68382,Aceton,4
http://orkg.org/orkg/resource/R142203,Use of artificial intelligence based algorithm for radiological diagnosis of breast cancer ,4
http://orkg.org/orkg/resource/R146875,Automatic leaderboard construction,4
http://orkg.org/orkg/resource/R138892,Inorganic nanoparticles for cancer treatment,4
http://orkg.org/orkg/resource/R142088,Disease Registration System,3
http://orkg.org/orkg/resource/R110054,Cognitive state classification,3
http://orkg.org/orkg/resource/R3082,Brain tumor,3
http://orkg.org/orkg/resource/R109717,Nuclear safety,3
http://orkg.org/orkg/resource/R74975,Protein cavity calculation,3
http://orkg.org/orkg/resource/R109774,Immunosuppression Syndrome in COVID-19,3
http://orkg.org/orkg/resource/R141109,Economy growth,3
http://orkg.org/orkg/resource/R137697,['Effect of low dietry fiber on Crohn´s disease'],3
http://orkg.org/orkg/resource/R107640,URI Lookup,3
http://orkg.org/orkg/resource/R148598,Formation of two-frequency pulse compounds,3
http://orkg.org/orkg/resource/R12066,Optimization problem,3
http://orkg.org/orkg/resource/R68787,Aldrin,3
http://orkg.org/orkg/resource/R9145,Semantic Question Answering,3
http://orkg.org/orkg/resource/R38192,End-to-end Relation Extraction,3
http://orkg.org/orkg/resource/R143872,Information extraction from Folkosonomies,3
http://orkg.org/orkg/resource/R75593,improving shelf-life of fish in refrigerator using chitosan and natural additives,3
http://orkg.org/orkg/resource/R109296,Heavy Metals Contamination in Water ,3
http://orkg.org/orkg/resource/R144154,PLGA-based nanoparticles as drug carriers,3
http://orkg.org/orkg/resource/R46405,Machine comprehension,3
